latitude,longitude
30.887628,120.431371
30.886725,120.431618
30.885797,120.43186
30.885438,120.431941
30.885352,120.431957
30.885373,120.432128
30.885459,120.432826
30.885545,120.433775
30.885556,120.433941
30.885583,120.434478
30.885593,120.434939
30.885593,120.435723
30.885583,120.436237
30.885577,120.436436
30.88555,120.437069
30.885534,120.437466
30.885513,120.437986
30.885481,120.438287
30.885427,120.438823
30.885416,120.439209
30.885432,120.440073
30.885406,120.440781
30.885384,120.441586
30.885379,120.442267
30.88539,120.442551
30.885438,120.443174
30.885518,120.443785
30.885572,120.444102
30.885786,120.445014
30.886022,120.445733
30.886167,120.446113
30.886216,120.446226
30.886495,120.446918
30.886763,120.44754
30.887154,120.448463
30.88731,120.448833
30.887664,120.449681
30.887996,120.45048
30.88827,120.451124
30.888737,120.45224
30.889279,120.453527
30.88952,120.454101
30.889804,120.454734
30.889826,120.454793
30.890384,120.456038
30.890743,120.456815
30.89136,120.458124
30.891703,120.458859
30.891902,120.459299
30.892149,120.459836
30.892304,120.460173
30.892669,120.460962
30.893071,120.461826
30.893168,120.462035
30.893549,120.462856
30.893554,120.462866
30.893806,120.463408
30.89394,120.463725
30.894482,120.464862
30.895158,120.466343
30.895383,120.466841
30.89556,120.467217
30.896655,120.469566
30.898146,120.472796
30.899262,120.475199
30.89967,120.476041
30.899686,120.476074
30.900029,120.476696
30.90011,120.476841
30.900361,120.477286
30.901349,120.478901
30.901617,120.479346
30.901772,120.479609
30.902035,120.480054
30.902443,120.480741
30.903231,120.482151
30.903795,120.483198
30.90454,120.484576
30.904621,120.484721
30.904959,120.485333
30.905796,120.486872
30.905941,120.487124
30.905978,120.487205
30.90644,120.488063
30.90682,120.488771
30.906895,120.488905
30.906949,120.489007
30.907501,120.490037
30.907882,120.490665
30.908086,120.49096
30.908424,120.4914
30.908784,120.491797
30.90925,120.492236
30.909696,120.492607
30.909958,120.4928
30.910828,120.49346
30.911825,120.494227
30.913563,120.49553
30.914051,120.495922
30.914245,120.496083
30.914368,120.496212
30.91447,120.49633
30.914636,120.496501
30.914867,120.496748
30.915103,120.497038
30.915242,120.497236
30.915527,120.497655
30.915532,120.49766
30.915715,120.497971
30.915757,120.498046
30.915886,120.498271
30.916138,120.49876
30.916262,120.499001
30.916766,120.499978
30.916868,120.500197
30.917222,120.500873
30.917458,120.501324
30.918021,120.502418
30.918295,120.502912
30.918407,120.503148
30.918638,120.503572
30.918719,120.503711
30.918992,120.504215
30.919083,120.504387
30.919303,120.504827
30.920285,120.506694
30.920387,120.506887
30.920505,120.507101
30.9208,120.507681
30.920838,120.50775
30.921245,120.508459
30.921572,120.508968
30.922205,120.509826
30.922479,120.510154
30.922887,120.51061
30.923606,120.511393
30.924003,120.511828
30.924238,120.512085
30.924448,120.51231
30.924684,120.512568
30.925188,120.51312
30.925349,120.513297
30.92566,120.513635
30.92588,120.513871
30.926288,120.514311
30.926513,120.514558
30.926787,120.514858
30.927463,120.515588
30.928042,120.516221
30.928718,120.516956
30.929957,120.518297
30.930011,120.518356
30.931223,120.519681
30.931534,120.520019
30.931561,120.520046
30.931931,120.520464
30.932741,120.521344
30.93295,120.521575
30.933219,120.521859
30.934045,120.522766
30.934501,120.523286
30.93479,120.523661
30.935128,120.52416
30.935461,120.524713
